VP_NUM	 HULL_NUM	VESSEL_NAME
250504	620105 	2 SEA SONS
410318	638032	ALEXIS MARTINA
410173	600409	AMY MARIE
250366	587293 	ANGELA & ROSE
241948	1029705	ANNICE MARIE
330452	518410	ANYA JO
123845	MS8376KV	BANTRY BAY
410147	589996	BARBARA ANNE
310459	539456	BOOKIE
410471	937040	BULLDOG
321025	993104	CAITLIN & MAIREAD
410544	549569	CAMANO
330331	604009	CAPT BOB
410146	591971	CELTIC
420064	9989516	CHALLENGER
330683	937930	CHRISTIAN & ALEXA
242598	927734	COMPROMISE
242605	1085554	DANA CHRISTINE
233835	1251022	DANA CHRISTINE II
410087	536245	DARANA R
410342	673387	DEBBIE SUE
330782	624748	DETERMINATION
330903	1122402	DISCOVERY II
330725	954436	DYRSTEN
410103	577836	ELISE G
320134	528321	ELIZABETH
151492	RI3973W	ELIZABETH & KATHERINE
250693	659112	ELIZABETH HELEN
240738	654949	ELLEN DIANE
241153	912995	EMILIA ROSE
148284	RI1340AR	EMILIA ROSE
410458	933903	ENDEAVOUR
410323	657549	ENDURANCE
410329	664958	ENTERPRISE
410566	1109878	EVA MARIE
330339	607406	EXCALIBUR
250508	621654	EXPLORER II
320026	286467	F NELSON BLOUNT
233854	1259071	FINLANDER
410332	669492	FLICKA
410179	588265	FRANCIS M LEE SR
330166	562545	GOLDEN NUGGETT
250458	606051	GRANDVILLE DAVIS
147114	MS4919AK	HARD MERCHANDISE
410080	535588	HARVESTER
410327	663840	HEATHER LYNN
410501	945600	HERA
310439	656114	HERITAGE
330549	655467	ILLUSION
330155	533196	IRON HORSE
320127	519505	ISABELLA ROSE
410588	1183113	JASON & DANIELLE
330521	584880	JERSEY CAPE
410289	627234	JERSEY GIRL
330708	939745	JOCKA
149582	ME120NT	JULIE ANN II
410326	663444	KAREN ELIZABETH
320697	560104	KAREN L
231770	948801	KAROLINE MARIE
410505	946982	KATHY ANN
330746	978445	KIMBERLY
310150	548127	KRISTIN & MICHAEL
330816	610004	LADY EVELYN
330338	608078	LADY JANE
330399	613242	LADY ROSLYN
410201	606719	LANGLEY DOUGLAS
410410	910012	LIGHTNING BAY
310473	674824	LINDA MARIE
251690	1139403	LISA ANN II
240880	576586	LISA ANN III
138096	MMS9025BE	LISA ANN IV
330329	606275	LUCKY THIRTEEN
410126	585853	LUSO AMERICAN I
250525	624744	MARY ELIZABETH
410527	971153	MARY K
146636	RI8119AY	MISTER G
410538	1103687	MORAGH K
310947	1162463	MS MANYA
147967	MS8230AY	MYSTIC
410371	682332	NANCY ELIZABETH
152159	MS8997BF	NOAH
320422	507335	NORREEN MARIE
221596	694848	OCEAN REPORTER
320139	531996	OCEAN STATE
410466	933346	PERCEPTION
330591	694706	PERSISTENCE
410154	596232	PONTOS
151386	NY8478GF	PONTOS
330739	970254	PREVAIL
151069	RI9130U	PROUD MARY
330779	603433 	RAYDA CHERAMIE
330534	656328	REBECCA MARY
410425	918031	RELENTLESS
410500	945601	RETRIEVER
330464	516754	RHONDA DENISE
330198	581723	SAO PAULO
330377	614564	SEA BREEZE
150773	RI4367FT	SEA BREEZE TOO
320988	974233	SEA CAPTURE
330672	937929	SEA RAMBLER
330387	615481	SECOND WIND
330313	602895	SHELBY ANN
410285	601595	SILVER SEA
410391	582665	STARLIGHT
320645	581935	STEPHANIE & BRYAN
410549	1098004	SUNLIGHT
242648	1108075	TENACIOUS II
320699	688168	TENACITY
123456	123456	TENNESSEE JED
320944	944403	THERESA & ALLYSON
410384	687824	THUNDER BAY
410403	906149	TITAN
310360	619934	TRADITION
330276	596397	TRIUNFO
321085	598855	VIKING PRIDE
310991	587180	VIRGINIA MARISE
550028	1160897	VOYAGER
410514	944788	YANKEE PRIDE
